"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-25 15:20:02","10083044","ORD5 - 30834","25","10","2019-10-25 15:20:02","2019-10-25 15:20:17","58","58","bridge","4234","73"
"100830442019-10-28 10:19:14","10083044","ORD5 - 30834","28","10","2019-10-28 10:19:14","2019-10-28 10:19:31","58","58","bridge","4162","71"
"100830442019-10-25 16:49:02","10083044","ORD5 - 30834","25","10","2019-10-25 16:49:02","2019-10-25 16:49:28","58","59","bridge","4140","70"
"100830442019-10-25 10:12:02","10083044","ORD5 - 30834","25","10","2019-10-25 10:12:02","2019-10-25 10:12:17","58","58","bridge","4135","71"
"100830442019-10-18 17:09:59","10083044","ORD5 - 30834","18","10","2019-10-18 17:09:59","2019-10-18 17:10:11","58","58","bridge","4005","69"
"100830442019-10-23 11:12:59","10083044","ORD5 - 30834","23","10","2019-10-23 11:12:59","2019-10-23 11:13:28","58","57","bridge","3940","69"
"100830442019-10-13 17:33:07","10083044","ORD5 - 30834","13","10","2019-10-13 17:33:07","2019-10-13 17:33:35","58","59","bridge","3931","66"
"100830442019-10-10 21:59:58","10083044","ORD5 - 30834","10","10","2019-10-10 21:59:58","2019-10-10 23:00:00","58","1","camera","3602","3602"
"100830442019-10-29 19:59:59","10083044","ORD5 - 30834","29","10","2019-10-29 19:59:59","2019-10-29 21:00:00","58","1","camera","3601","3601"
"100830442019-10-27 10:50:11","10083044","ORD5 - 30834","27","10","2019-10-27 10:50:11","2019-10-27 10:50:41","58","57","bridge","3097","54"
"100830442019-10-12 15:09:12","10083044","ORD5 - 30834","12","10","2019-10-12 15:09:12","2019-10-12 15:09:44","58","56","bridge","3062","54"
"100830442019-10-17 12:32:57","10083044","ORD5 - 30834","17","10","2019-10-17 12:32:57","2019-10-17 12:33:28","58","59","bridge","2989","50"
"100830442019-10-25 22:54:05","10083044","ORD5 - 30834","25","10","2019-10-25 22:54:05","2019-10-25 22:54:20","58","56","bridge","2889","51"
"100830442019-10-16 22:51:34","10083044","ORD5 - 30834","16","10","2019-10-16 22:51:34","2019-10-16 22:51:54","58","116","bridge","2182","18"
"100830442019-10-21 01:42:17","10083044","ORD5 - 30834","21","10","2019-10-21 01:42:17","2019-10-21 02:00:00","58","1","camera","1063","1063"
"100830442019-10-16 09:23:36","10083044","ORD5 - 30834","16","10","2019-10-16 09:23:36","2019-10-16 09:23:48","58","92","bridge","1028","11"
"100830442019-10-23 09:56:55","10083044","ORD5 - 30834","23","10","2019-10-23 09:56:55","2019-10-23 09:57:08","58","58","bridge","656","11"
"100830442019-10-30 13:35:25","10083044","ORD5 - 30834","30","10","2019-10-30 13:35:25","2019-10-30 13:35:37","58","57","bridge","648","11"
"100830442019-10-23 01:49:40","10083044","ORD5 - 30834","23","10","2019-10-23 01:49:40","2019-10-23 02:00:00","58","1","camera","620","620"
"100830442019-10-12 15:12:10","10083044","ORD5 - 30834","12","10","2019-10-12 15:12:10","2019-10-12 15:14:26","58","1","camera","136","136"
"100830442019-10-15 10:57:58","10083044","ORD5 - 30834","15","10","2019-10-15 10:57:58","2019-10-15 11:00:00","58","1","camera","122","122"
"100830442019-10-31 21:58:05","10083044","ORD5 - 30834","31","10","2019-10-31 21:58:05","2019-10-31 22:00:00","58","1","camera","115","115"
"100830442019-10-31 16:58:08","10083044","ORD5 - 30834","31","10","2019-10-31 16:58:08","2019-10-31 17:00:00","58","1","camera","112","112"
"100830442019-10-21 18:58:11","10083044","ORD5 - 30834","21","10","2019-10-21 18:58:11","2019-10-21 19:00:00","58","1","camera","109","109"
"100830442019-10-13 03:25:01","10083044","ORD5 - 30834","13","10","2019-10-13 03:25:01","2019-10-13 03:26:21","58","1","camera","80","80"
"100830442019-10-17 05:59:21","10083044","ORD5 - 30834","17","10","2019-10-17 05:59:21","2019-10-17 06:00:00","58","1","camera","39","39"
"100830442019-10-13 21:59:28","10083044","ORD5 - 30834","13","10","2019-10-13 21:59:28","2019-10-13 22:00:00","58","1","camera","32","32"
"100830442019-10-08 14:59:33","10083044","ORD5 - 30834","8","10","2019-10-08 14:59:33","2019-10-08 15:00:00","58","1","camera","27","27"
"100830442019-10-21 20:59:36","10083044","ORD5 - 30834","21","10","2019-10-21 20:59:36","2019-10-21 21:00:00","58","1","camera","24","24"
