"incident_guid","b_esn","incident_start","incident_stop","total_bridge_cams","incident_cams","drop_type","duration_sum","dur/avg"
"10061de12019-10-19 06:51:04","10061de1","2019-10-19 06:51:04","2019-10-19 06:51:42","69","72","bridge","5690","79"
"1004bbe92019-10-19 10:45:54","1004bbe9","2019-10-19 10:45:54","2019-10-19 10:47:06","68","67","bridge","5513","82"
"100903232019-10-19 21:38:48","10090323","2019-10-19 21:38:48","2019-10-19 21:40:15","42","40","bridge","4882","122"
"100903232019-10-19 16:43:47","10090323","2019-10-19 16:43:47","2019-10-19 16:45:16","42","41","bridge","4307","105"
"100248df2019-10-19 04:20:39","100248df","2019-10-19 04:20:39","2019-10-19 04:21:06","70","76","bridge","3703","48"
"10033c8f2019-10-19 21:38:34","10033c8f","2019-10-19 21:38:34","2019-10-19 21:40:10","34","32","bridge","3135","97"
"100354fd2019-10-19 08:00:32","100354fd","2019-10-19 08:00:32","2019-10-19 08:01:01","70","68","bridge","2117","31"
"100903232019-10-19 21:40:44","10090323","2019-10-19 21:40:44","2019-10-19 21:41:45","42","51","bridge","1384","27"
"100903232019-10-19 21:43:02","10090323","2019-10-19 21:43:02","2019-10-19 21:43:20","42","39","bridge","642","16"
"100a54e92019-10-19 20:59:04","100a54e9","2019-10-19 20:59:04","2019-10-19 20:59:20","46","42","bridge","623","14"
